Region,Destination Country,lat,lon
MALTA,MALTA,35.9022113,14.4137381
LIMASSOL,CYPRUS,34.6852901,33.0332657
"ALMYROS, MAGNISIA",GREECE,39.1807614,22.7609792
"TENEVO, BULGARIA",BULGARIA,42.3491,26.5306699
"KILKIS, CENTRAL MACEDONIA",GREECE,40.9935874,22.8741455
"Dolj, Romania",ROMANIA,44.2150123,23.669363
"Dimbovita, Romania",ROMANIA,44.7677425,25.5620315
"Giurgiu, Romania",ROMANIA,43.8961275,25.9656448
"SILISTRA, BULGARIA",BULGARIA,43.9057061,27.0705496
"CORBI MARI, ROMANIA",ROMANIA,,
"MIHAILESTI, ROMANIA",ROMANIA,44.3246217,25.9068881
"Bratovoesti, Romania",ROMANIA,44.1193747,23.9228475
"Medias, Sibiu, Romania",ROMANIA,46.1625212,24.3473855
"Andrasesti, Ialomita, Romania",ROMANIA,44.5756258,27.1448036
ENEVO,ROMANIA,,
"KILKIS, CANTRAL MACEDONIA",GREECE,40.9935874,22.8741455
"71409, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3392489,25.1368286
"55535, THESSALONIKI, ΠΥΛΑΙΑ",GREECE,40.5789493,22.9855655
"17672, ATTIKI, ΚΑΛΛΙΘΕΑ",GREECE,37.9544217,23.707039
"18534, PIRAEUS, ΠΕΙΡΑΙΑΣ",GREECE,37.9412775,23.6521426
"54644, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"20100, KORINTHOS, ΚΟΡΙΝΘΟΣ",GREECE,37.9397622,22.9336692
"81100, LESVOS, ΜΥΤΙΛΗΝΗ",GREECE,39.1748655,26.5066789
"34100, EVOIA, ΧΑΛΚΙΔΑ",GREECE,38.4656597,23.5972932
"56224, THESSALONIKI, ΕΥΟΣΜΟ",GREECE,40.669221,22.9098567
"84100, CYCLADES, ΣΥΡΟΣ",GREECE,37.4486079,24.9026797
"14452, ATTIKI, ΜΕΤΑΜΟΡΦΩΣΗ",GREECE,38.0636223,23.7633649
"57011, THESSALONIKI, ΓΕΦΥΡΑ ΘΕΣ/ΝΙΚΗΣ",GREECE,40.7202974,22.7163573
"23100, SPARTI, ΣΠΑΡΤΗ",GREECE,37.0761135,22.4297824
"19100, ATTIKI, ΜΕΓΑΡΑ",GREECE,38.0045554,23.3174162
"18758, PIRAEUS, ΚΕΡΑΤΣΙΝΙ",GREECE,37.9708652,23.6193511
"13451, ATTIKI, ΚΑΜΑΤΕΡΟ",GREECE,38.0607451,23.7131544
"12241, ATTIKI, ΑΙΓΑΛΕΩ",GREECE,37.9857336,23.6793175
"71304, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3418789,25.1316096
"47100, ARTA GREECE, ΑΡΤΑ",GREECE,39.1587093,20.9877686
"84503, CYCLADES, ΑΝΔΡΟΣ",GREECE,37.83333,24.9333296
"42100, TRIKALA, ΤΡΙΚΑΛΑ",GREECE,39.5571616,21.750484
"21100, ARGOLIDAS, ΝΑΥΠΛΙΟ",GREECE,37.5681268,22.8059748
"15343, ATTIKI, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ",GREECE,38.0150796,23.8285698
"19300, ATTIKI, ΑΣΠΡΟΠΥΡΓΟΣ",GREECE,38.0691655,23.5974741
"13671, ATTIKI, ΑΧΑΡΝΕΣ",GREECE,38.0834936,23.7383979
"14563, ATTIKI, ΚΗΦΙΣΙΑ",GREECE,38.0754648,23.8173029
"18451, PIRAEUS, ΝΙΚΑΙΑ",GREECE,37.974156,23.6384758
"11853, ATTIKI, ΑΝΩ ΠΕΤΡΑΛΩΝΑ",GREECE,37.9695292,23.7111414
"45221, IOANNINA, ΙΩΑΝΝΙΝΑ",GREECE,39.6545099,20.8538752
"15344, ATTIKI, ΓΕΡΑΚΑΣ",GREECE,38.0138527,23.8581422
"43100, KARDITSA, ΚΑΡΔΙΤΣΑ",GREECE,39.357224,21.9187753
"20002, KORINTHOS, ΒΕΛΟ",GREECE,37.9703964,22.7547616
"18344, ATTIKI, ΜΟΣΧΑΤΟ",GREECE,37.9469046,23.6794483
"50100, KOZANI, ΚΟΖΑΝΗ",GREECE,40.3018145,21.7880583
"46100, THESPROTIA, ΗΓΟΥΜΕΝΙΤΣΑ",GREECE,39.5021246,20.2635592
"35100, FTHIOTIDA, ΛΑΜΙΑ",GREECE,38.8797282,22.4403851
"66100, DRAMA, ΔΡΑΜΑ",GREECE,41.1489109,24.1439299
"35015, FTHIOTIDA, ΚΑΤΩ ΤΙΘΟΡΕΑ",GREECE,38.606657,22.7131872
"49100, CORFU, ΚΕΡΚΥΡΑ",GREECE,39.6161243,19.9118361
"54642, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"22100, ARKADIAS, ΤΡΙΠΟΛΗ",GREECE,37.5109233,22.3726737
"24100, KALAMATA, ΚΑΛΑΜΑΤΑ",GREECE,37.0357991,22.1117113
"18040, PIRAEUS, ΥΔΡΑ",GREECE,37.3423016,23.4696021
"18233, PIRAEUS, ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ",GREECE,37.9616227,23.6753748
"50200, KOZANI, ΠΤΟΛΕΜΑΙΔΑ",GREECE,40.4458152,21.7143437
"54627, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"26332, ACHAIA, ΠΑΤΡΑ",GREECE,38.2368697,21.7368824
"32100, BOEOTIA, ΛΙΒΑΔΕΙΑ",GREECE,38.438148,22.8790519
"38221, VOLOS, ΒΟΛΟΣ",GREECE,39.3625196,22.9509185
"13122, ATTIKI, ΙΛΙΟΝ",GREECE,38.0336701,23.710524
"10437, ATTIKI, ΣΤΑΘΜΟΣ LARISSIS",GREECE,37.9933126,23.7211107
"11636, ATTIKI, ΠΑΓΚΡΑΤΙ",GREECE,37.9676683,23.7491696
"54351, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"11475, ATTIKI, ΓΚΥΖΗ",GREECE,37.9890906,23.7460973
"34132, EVOIA, ΧΑΛΚΙΔΑ",GREECE,38.468631,23.6033374
"59132, IMATHIA, ΒΕΡΟΙΑ",GREECE,40.5215226,22.1993385
"56122, THESSALONIKI, ΜΕΝΕΜΕΝΗ",GREECE,40.6562959,22.9092506
"81400, LESVOS, ΜΥΡΙΝΑ",GREECE,39.8879888,25.0994065
"13344, ATTIKI, ΑΝΩ ΛΙΟΣΙΑ",GREECE,38.0701691,23.7163417
"58100, PELLA GREECE, ΓΙΑΝΝΙΤΣΑ",GREECE,40.8012467,22.3931123
"45500, IOANNINA, ΙΩΑΝΝΙΝΑ",GREECE,39.6015047,20.85976
"16674, ATTIKI, ΓΛΥΦΑΔΑ",GREECE,37.8658343,23.7562354
"18648, PIRAEUS, ΔΡΑΠΕΤΣΩΝΑ",GREECE,37.9493603,23.6251663
"13231, ATTIKI, ΠΕΤΡΟΥΠΟΛΗ",GREECE,38.0378402,23.67663
"41500, LARISSA, ΛΑΡΙΣΑ",GREECE,39.5922262,22.4364835
"84600, CYCLADES, ΜΥΚΟΝΟΣ",GREECE,37.44529,25.32872
